product_id,product_name,category,price
1,Dumbbells 0001,Sports,46599.65
2,Bluetooth Speaker 0002,Electronics,24673.08
3,SQL Handbook 0003,Books,68469.59
4,Dumbbells 0004,Sports,61380.3
5,T-Shirt 0005,Fashion,46992.11
6,Gym Gloves 0006,Sports,57480.74
7,Handbag 0007,Fashion,35419.87
8,Saree 0008,Fashion,16916.31
9,Novel 0009,Books,72750.78
10,Dumbbells 0010,Sports,6328.49
11,Moisturizer 0011,Beauty,57370.43
12,Novel 0012,Books,80926.8
13,Yoga Mat 0013,Sports,28823.2
14,Smartphone 0014,Electronics,50657.49
15,Saree 0015,Fashion,13426.37
16,Saree 0016,Fashion,85813.27
17,Bluetooth Speaker 0017,Electronics,60460.39
18,Football 0018,Sports,65982.73
19,Sneakers 0019,Fashion,26272.01
20,Business Book 0020,Books,48593.87
21,Yoga Mat 0021,Sports,34415.23
22,Smartphone 0022,Electronics,59634.3
23,Table Lamp 0023,Home & Kitchen,75324.58
24,Hair Serum 0024,Beauty,23946.15
25,Moisturizer 0025,Beauty,21242.5
26,Finance Book 0026,Books,5620.71
27,Jeans 0027,Fashion,5440.82
28,Hair Serum 0028,Beauty,47726.95
29,Perfume 0029,Beauty,38103.12
30,Marketing Book 0030,Books,47563.04
31,Coffee Maker 0031,Home & Kitchen,1382.93
32,Hair Serum 0032,Beauty,67912.64
33,Yoga Mat 0033,Sports,9915.96
34,Running Shoes 0034,Sports,95626.13
35,Sunscreen 0035,Beauty,33628.75
36,Jeans 0036,Fashion,25682.32
37,Tennis Balls 0037,Sports,46217.64
38,Business Book 0038,Books,73483.48
39,Badminton Racket 0039,Sports,52090.24
40,Python Guide 0040,Books,31463.33
41,Wireless Earbuds 0041,Electronics,83201.61
42,Keyboard 0042,Electronics,9949.34
43,Mouse 0043,Electronics,35280.34
44,Novel 0044,Books,25338.23
45,Wireless Earbuds 0045,Electronics,62014.84
46,Power Bank 0046,Electronics,95057.8
47,SQL Handbook 0047,Books,70864.9
48,Bluetooth Speaker 0048,Electronics,85671.79
49,Coffee Maker 0049,Home & Kitchen,65707.18
50,Python Guide 0050,Books,89619.96
51,Python Guide 0051,Books,25481.91
52,Shampoo 0052,Beauty,63949.29
53,Handbag 0053,Fashion,69282.7
54,Finance Book 0054,Books,25881.19
55,Smart Watch 0055,Electronics,77754.17
56,Hair Serum 0056,Beauty,33397.94
57,Smart Watch 0057,Electronics,95568.45
58,Sneakers 0058,Fashion,44168.37
59,Perfume 0059,Beauty,61107.13
60,Table Lamp 0060,Home & Kitchen,11020.36
61,Tennis Balls 0061,Sports,21993.97
62,SQL Handbook 0062,Books,91277.4
63,Novel 0063,Books,10507.05
64,Bluetooth Speaker 0064,Electronics,57219.19
65,Backpack 0065,Fashion,2071.73
66,Moisturizer 0066,Beauty,65354.96
67,Wireless Earbuds 0067,Electronics,66526.66
68,Sneakers 0068,Fashion,70064.51
69,Face Wash 0069,Beauty,51634.22
70,Body Lotion 0070,Beauty,43717.56
71,SQL Handbook 0071,Books,54103.85
72,Keyboard 0072,Electronics,95423.7
73,Shampoo 0073,Beauty,56809.94
74,Jacket 0074,Fashion,68246.21
75,Face Wash 0075,Beauty,63299.8
76,SQL Handbook 0076,Books,36661.47
77,Jeans 0077,Fashion,84148.92
78,Kurta 0078,Fashion,17825.51
79,Keyboard 0079,Electronics,66140.26
80,Handbag 0080,Fashion,89665.78
81,Finance Book 0081,Books,48752.05
82,Biography 0082,Books,73584.35
83,Mixer Grinder 0083,Home & Kitchen,19469.65
84,Business Book 0084,Books,49024.41
85,Smart Watch 0085,Electronics,50067.48
86,Face Wash 0086,Beauty,3895.86
87,USB Cable 0087,Electronics,78819.3
88,Keyboard 0088,Electronics,11994.07
89,Biography 0089,Books,94019.96
90,Football 0090,Sports,74155.94
