order_item_id,order_id,product_id,seller_id,quantity,unit_price
1,1,237,323,1,105430.46
2,1,425,1893,4,83536.48
3,2,110,1241,1,81418.02
4,2,236,784,4,12733.8
5,3,86,1265,1,3746.35
6,3,248,1481,3,12786.15
7,4,1910,1276,2,76395.74
8,4,510,1172,2,49197.51
9,4,406,691,2,43355.35
10,4,1896,1353,2,78489.89
11,5,1591,307,3,85074.66
12,5,1067,185,3,5455.05
13,5,213,1144,4,95389.03
14,6,1889,1761,1,67057.44
15,6,691,669,2,28373.49
16,7,770,1721,5,79075.51
17,7,264,1735,3,29982.6
18,7,36,717,4,27220.99
19,8,1660,1520,1,23172.6
20,9,1466,1166,5,59385.26
21,9,1366,1596,5,80618.73
22,10,1590,200,2,30502.77
23,11,291,565,2,15508.27
24,12,1126,751,4,39311.71
25,12,669,1893,2,86450.65
26,12,1106,56,3,30027.59
27,13,53,987,1,66207.58
28,13,289,742,5,13112.97
29,14,1142,570,1,63749.08
30,14,1014,1269,1,43403.13
31,15,884,873,5,38230.56
32,16,267,1762,3,51017.56
33,16,260,1936,1,4734.83
34,17,1952,1696,1,48616.92
35,17,1770,1455,3,26154.89
36,17,325,121,1,10586.77
37,18,1860,1960,4,90313.38
38,18,1854,1574,4,61967.96
39,18,831,1829,3,23303.41
40,19,907,1595,3,45808.66
41,19,1209,871,2,13096.49
42,19,1387,515,4,101045.3
43,20,1714,515,4,26680.19
44,20,1660,227,1,21792.72
45,21,1633,1605,5,13174.19
46,22,55,1867,4,76856.95
47,22,1651,206,4,75989.43
48,23,1002,332,4,67795.03
49,24,1059,200,3,62015.19
50,25,1214,1779,1,83967.19
51,25,63,1443,1,10148.38
52,26,1042,837,4,59402.58
53,26,87,111,4,81038.48
54,27,164,1666,3,91814.41
55,27,1985,1087,3,38778.65
56,27,98,409,4,44520.95
57,28,51,1158,4,22817.3
58,28,36,1089,5,26172.63
59,29,873,520,4,17788.96
60,29,1441,247,5,6780.55
61,29,880,408,2,81967.46
62,29,1221,321,4,107428.87
63,30,1822,305,1,57828.53
64,30,807,132,5,85209.93
65,30,895,284,4,75455.25
66,30,1686,118,3,82199.18
67,31,206,1284,5,85090.37
68,31,637,139,1,58440.6
69,31,1977,1206,4,30858.88
70,31,677,255,3,37650.45
71,32,1200,1574,5,26068.23
72,32,484,1465,5,47687.64
73,32,1114,1758,3,32445.96
74,33,511,135,3,92647.26
75,33,1368,87,3,19684.93
76,33,1450,1028,1,44321.7
77,34,1325,1683,4,78131.34
78,34,1701,809,5,42580.51
79,34,1225,1010,2,23368.79
80,35,949,900,1,31393.02
81,35,1209,783,5,11923.5
82,36,210,783,1,33192.03
83,36,842,994,3,73530.51
84,36,1860,994,4,90463.5
85,37,478,357,3,53385.91
86,37,1702,432,5,18967.82
87,38,1194,234,5,38773.56
88,38,1165,31,1,72781.27
89,38,1868,1866,3,69242.68
90,39,1737,54,2,95606.91
91,39,1958,1056,4,69163.98
92,39,1353,1108,2,39007.45
93,39,286,842,1,80052.7
94,40,1292,1646,3,12689.34
95,41,482,757,5,43443.63
96,42,1845,172,4,7987.82
97,42,301,1497,5,21063.65
98,42,1838,1204,3,6781.8
99,42,230,1041,1,36485.73
100,43,1988,1120,4,86962.33
101,44,1096,1553,1,65370.97
102,44,284,1803,3,46096.03
103,44,330,1511,2,15330.5
104,45,1992,1910,1,5987.93
105,45,1039,127,1,467.77
106,45,766,96,4,54252.85
107,45,897,970,1,96090.1
108,46,1725,779,5,50997.37
109,46,387,1220,4,16892.09
110,47,1914,324,5,78084.96
111,48,1621,1374,4,95982.11
112,48,339,1034,2,53849.74
113,48,1229,1541,4,40628.69
114,49,1362,89,5,37695.81
115,49,1302,1462,1,18650.62
116,49,103,1619,1,62211.61
117,49,548,868,1,44588.91
118,50,1013,1843,5,20172.68
119,51,999,1381,5,39469.23
120,51,582,683,4,93256.57
121,52,1190,1349,4,83770.61
122,52,1635,1311,1,53433.9
123,52,1760,1897,4,20725.43
124,52,1649,580,5,58961.25
125,53,1476,1917,5,1674.27
126,53,543,545,4,79830.6
127,54,133,24,2,22707.11
128,54,910,210,4,15253.13
129,55,1188,1691,4,19720.28
130,55,1557,1120,2,23472.08
131,55,498,1982,5,35563.12
132,56,545,820,5,66501.12
133,56,1095,467,5,31270.14
134,57,282,310,5,4270.25
135,57,530,1180,1,8138.84
136,57,810,1277,1,76641.72
137,57,983,152,2,54154.82
138,58,1202,1836,2,92946.04
139,59,1681,419,4,70848.18
140,59,1789,437,4,92470.59
141,60,700,383,2,46357.78
142,61,658,194,4,71142.12
143,61,1140,1700,1,7801.86
144,61,1047,738,3,13447.09
145,62,297,200,4,85569.53
146,62,537,65,2,12130.74
147,62,256,561,1,88525.79
148,62,1263,853,4,64525.3
149,63,1548,1867,1,12622.6
150,63,1517,260,3,14008.67
151,63,992,1174,5,93371.84
152,63,1837,1120,5,63246.69
153,64,1775,821,4,45598.15
154,65,199,164,4,72470.24
155,65,557,1059,1,53839.9
156,66,1275,808,4,35418.98
157,66,379,1119,4,93860.51
158,66,1883,1103,5,77710.48
159,67,1432,1192,4,89255.79
160,67,1998,1126,4,29171.45
161,68,1162,1776,1,61336.68
162,68,640,1205,3,80160.46
163,68,1411,1646,1,65083.03
164,68,1828,1257,2,65799.15
165,69,120,1408,4,51118.7
166,69,1731,505,4,81096.34
167,70,720,233,1,76300.21
168,71,1399,1706,5,6892.71
169,71,1492,1580,5,60234.65
170,71,127,425,4,9861.91
171,71,466,842,2,26590.64
172,72,672,115,4,93489.41
173,72,763,101,1,78191.93
174,72,1228,1334,5,8581.41
175,73,612,1990,5,901.28
176,73,1087,97,3,7957.25
177,74,1398,1850,5,17194.19
178,74,1772,884,4,50975.15
179,74,562,670,4,57078.09
180,74,1609,30,3,68207.08
181,75,1004,697,5,80799.97
182,75,1549,1170,4,62969.65
183,75,908,632,3,59941.4
184,76,1601,1650,5,25323.04
185,76,1038,268,2,54902.39
186,77,529,1794,4,82263.63
187,77,1637,1750,2,20377.15
188,77,829,690,3,47619.57
189,78,1296,711,2,40994.54
190,78,685,19,4,34814.92
191,78,1237,383,1,81208.95
192,78,1246,603,2,4684.73
193,79,877,1422,4,49849.36
194,79,1975,276,3,19653.55
195,79,1806,800,1,33333.64
196,79,980,363,3,7579.91
197,80,190,763,5,31042.74
